 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dal.
Date","Order
 No","Order
By",Date,"App.
 Date","Code Rec.
Yes/No",Dealer Name & Address,"Front
 Discount",Bill No. ,FOC,"Committ. With
Mat.",Total,JT16024,,,,,,,JT 16536,,,JT18024,,,,,,,JT19036,,,,,,,JT200E36,,,,,,,TT16024,,,,,,,TT 16036,,,,,,TT17536,,,,,,,TT18036,,,,,,,TT22036,,,,,,,TT22060,,,TT22548,,,,TT24036,,,,TT26048,,,,TT26060,,,JT15024,,,200TT36,,,,200TT48,,,,TT30048AH,,,,TT30060AH,,,,"Lithium  (100ah)
E rikshaw  Batt",,,,,"1350
ESS
12.8","2500
ESS
25.6","I POWER
Retail","I POWER
Retail","I POWER
Retail","I POWER
Retail","Lithium  (100ah)
Inverter   Batt",,,,,"1600
E-R ",,"1800
E-R ",,80Z,,92Z,,105Z,,,,330 W,,320 W,,165 W,,150 W,,550,200,125,170,260,270,335,550,550,540,40,545,50,550,550,100,50,590,160,570,595,585,545,110w,620W,,1050,1350,"1350
sal",2350,3500,5500
,,,,,,,,,,,,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SL,SB,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SL,Sb,LIV,LIV.A,P,SY,SLT,sb,P,LIV,LIV.A,Oth.,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SLT,SB,P,LIV,LIV.A,Oth.,SY,SLT,SB,SY,SLT,SB,LIV.A,SY,SLT,SB,P,SY,SLT,SB,P,SY,SLT,SB,SY,SLT,P,SY,SLT,SB,P,SY,SLT,SB,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,slt,Pl,con,charg.,,,"SYLE
51272","SYLE
25660","SYLE
25672","SYLE
12872","sy
51.2","SYLE
25.6V/2350","SYLE
12860","SAL
12860",,SY,P,SY,P,SY,LIV.A,SY,SLT,SY,SLT,"38B
20L","5662
81",MTK,LUM,MTK,LUM,MTK,LUM,MTK,LUM,East,MTK,Palza,LUM,MTK,Lum,LUM,LUM,EXI,EXI,MTK,MTK,MTK,MTK,AMG,Exi,APRO,,Exi,sy,Sy,MKT,SY,,,,INV,INV,INV,INV,INV,UPS
5-5-2025,OPENING,,,,,,,,,,155,0,3,0,0,0,0,0,0,6,0,7,2,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0,0,0,0,0,2,,0,0,0,0,13,3,0,0,0,2,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,4,0,0,0,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,40,0,0,11,0,0,2,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
9-5-2025,Billing,,,,,,,,,,145,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,
10-5-2025,BR 2,Neeraj Sir,7-5-2025,9-5-2025,Y ok,K.K Elc. Bulandshahr (Prorata),New DP-1500-2%-48%,38 (09-5-25),,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSR 4,Neeraj Sir,9-5-2025,10-5-2025,Y ok,Jai Rajora (K.K Elc. Bulandshahr) ,"New DP-2200-2%
Panal-25.00 Rs",40 (10-5-25),292249/-,,36,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sale,,,,,24 Dispatch May ,,,,,41,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
,Bal,,,,,,,,,,259,0,3,0,0,0,0,0,0,6,0,20,2,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0,0,0,0,0,0,,0,0,0,0,27,3,0,0,0,7,0,50,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,4,0,0,0,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,40,0,0,0,0,0,2,0,,0,0,0,0,0,0,24,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
12-5-2025,Billing,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,40,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panal Pur.,,,,,Prakashmy Power Solution Bulandshahr ,INV2025-26/0687,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,
,HR1068,Akash Sir,2-5-2025,2-5-2025,Y ok,Prakashmay Power Solution Bulandshahr ,"New DP-2200-2%
Panal-17.64 Rs",42 (13-5-25),1990772/-,38 Panel ,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,40,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
,Total Sale,,,,,176 Dispatch May ,,,,,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
