,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"Order
 No","Order
By",Date,"App.
 Date","Dispatch
 Plan",Dealer Name & Address,"Front
 Discount",Bill No. ,FOC,"Committ. With
Mat.",Total,JT16024,,,,,,,JT 16536,,,JT18024,,,,,,,JT19036,,,,,,,JT200E36,,,,,,,TT16024,,,,,,,TT 16036,,,,,,TT17536,,,,,,,TT18036,,,,,,,TT22036,,,,,,,TT22060,,,TT22548,,,,TT24036,,,,TT26048,,,,TT26060,,,JT15024,,,200TT36,,,,200TT48,,,,300tt48AH,,,,300tt60AH,,,,"Lithium  (100ah)
E rikshaw  Batt",,,,,"1350
ESS
12.8","2500
ESS
25.6","I POWER
Retail","I POWER
Retail","I POWER
Retail","I POWER
Retail","Lithium  (100ah)
Inverter   Batt",,,,,"1600
E-R ",,"1800
E-R ",,80Z,,92Z,,105Z,,,,330 W,,325 W,,165 W,,150 W,,"550
W",200,125,170,260,270,335,550,550,540,"40
W","545
W","50
w",550,550/585,100,"50
epro","590
w","160
W","SY595
W ( A+)","SY570
W (A-)","585
MTK
Top Con",545,"120W
Lunous",650W,330,"1050
SY","1050
SAL","1350
Sy","1350
sal","2350
SY",3500,5500,"1700
mtk","1850
LUM","ICon
E riksha
Charger","ICon
E Bike
Charger","ICon
E Bike
Charger","1000/
1350",2000,2350,40amp,16MM,"PSW
LEd",bag 20,bag24,din set,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,model,,models,,,,,,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,SB,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,Sb,Liv,Liv.A,P,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,sy,Slt,sb,Liv.A,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,P,sy,Slt,pl,sy,Slt,sm,P,sy,Slt,sm,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,slt,Pl,con,charg.,,,"SYLE
51272","SYLE
25660","SYLE
25672","SYLE
12872","sy
51.2","SYLE
25.6V/2350","SYLE
12860","SAL
12860",,sy,P,sy,P,SY,LIV.A,SY,sal,SY,sal,"38B
20L","5662
81",MTK,LUM,MTK,LUM,MTK,LUM,MTK,LUM,East,LUM,Palza,LUM,MTK,Lum,LUM,LUM,EXI,EXI,MTK,MTK,MTK,MTK,AMG,Exi,APRO,,EXI,,,,SY,,,jakson,INV,INV,INV,INV,INV,INV,UPS,UPS,UPS,48V/18,48V/18,60V/6,PCB,PCB,PCB,DC Fuse,wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-5-2025,OPENING,,,,,,,,,,1572,25,13,0,0,12,17,0,1,22,0,54,36,0,0,10,5,0,4,19,0,0,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,15,12,0,0,1,0,62,27,0,0,1,4,0,102,40,0,0,0,39,6,4,0,0,0,0,8,0,0,0,0,19,0,0,0,10,9,0,0,20,0,0,0,21,0,0,0,0,0,91,101,0,0,20,60,0,0,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,16,0,0,0,6,0,4,30,79,2,1,1,,9,8,0,101,2,3,1,283,3,18,0,18,4,22,11,,1,0,0,0,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-5-2025,Packing,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,137,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panal Pur.,,,,,Aakash Enterprises Mahedragarh,INV-67,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale Ret.,,,,,Inverter Plaza Rohtak,INV-187,,,"38B-2,30B-1",-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR1047,Manoj Sir,24-4-2025,1-5-2025,6-5-2025,Sai Enterprise Rampur,"New DP-2200-2%-120 (SP)
Panal-17.55 Rs",252 (6-5-25),,,125,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR1039(D),Rambir Sir,23-4-2025,26-4-2025,6-5-2025,Bhutani Traders Hisar(Order D),"DP-1500-2%-3%-200-3%
550EAST-17.55",248 (6-5-25),"42/4 foc ya tour
New Deal",Panel Mtek k Jane the ,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR1039(D),Rambir Sir,23-4-2025,26-4-2025,6-5-2025,Bhutani Traders Hisar,"DP-1500-2%-3%-200-3%
550EAST-17.55",253 (6-5-25),,Panel Mtek k Jane the ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR1065,jagat Sir,1-5-2025,2-5-2025,6-5-2025,Prem Power Solution Hathin,"DP-1500-2%
550 east-17.55",254 (6-5-25),2 FOC TT17536,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok 1 sr no tt22036,HR1058,Rajesh sir,29-4-2025,30-4-2025,6-5-2025,Verma Inverter Battery Service Centre Hisar,,247 (6-5-25),,,20,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK 2 SR NO MISTK,HR1057(A),Chander Sir,29-4-2025,5-5-2025,6-5-2025,New Unique Ent. Sirsa(Order A),"DP-1500-2%-3%CD-
150Extra-4%Adv
Panal-17.55",249 (6-5-25),,,53,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR1013,Arun Sir,18-4-2025,30-4-2025,6-5-2025,Ajeet Rep. Centre Bawal ,"New DP-2000-2%
Panal-17.55 Rs",251 (6-5-25),,,45,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,,,6-5-2025,Manjeet Dadri,foc,250 (6-5-25),,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,DC-40,,,,6-5-2025,Narnaul Claim,,DC-40,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,,,,,6-5-2025,Raj Ji ,,246 (30-4-25),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
