,,,Yellow Indicate-No Billing,,,,,,,,,,,,,,,,
"Sr. 
No",Date,Sales Exe.,Dealer Name & Address,"Rec. 
Adhar Card","Rec. 
Pan Card","Security
 Chq","Security Chq
No.","Fill Dealer 
form","Order Put/
Not","Rec in Office
(Entry By Acc.)",Put in File,Comp (Y/),Date,Follow up,,,Security Chq Pending,,
1,9-6-2021,Sumeet Sir,Upadhyay Elc. Saharanpur,Y,Y,Y,closed party,Y,Y,Rec. (17-7-21),Y,,,,,,T L,Sales Exe.,Party Name & Address
2,14-6-2021,Deepak Sir,Suraj Trading Sampla,Y,Y,Y,"000098,000099,000100 (phy.)",Y,Y,Y (26-7-21),Y,,,,,,Kaushal Sir,Arun Sir,Sawariya Traders Mahendergarh
3,14-6-2021,Akash Sir,Ravi Battery Works Aurangabd,Y,Y,Y,cheque nhi milege (18.9.24),Y,Y,Y (26-7-21),Y,,,,,,Kaushal Sir,Arun Sir,Archana Elc. Nangal Choudhary
4,24-6-2021,Sumeet Sir,Baba Battery Saharanpur,Y,N,Y,"787448,787438,787449 (phy.)",Y,Y,Rec. (17-7-21),Y,,,Party se puch k btayege,,,Kaushal Sir,Arun Sir,Aggarwl Trading Comp. Narnaul
5,24-6-2021,Akash Sir,Bhawani Shankar Muni,,,,959879 (phy.),Y,Y,Y (28-2-21),Y,,,party closed,,,Kaushal Sir,Deepak Sir,Mahadev Sampla
6,24-6-2021,Akash Sir,Nice Battery Daulatpur,,,,"453266,453267 (phy.)",Y,Y,Y (28-2-21),Y,,,,,,Kaushal Sir,Prem Sir,V-Tek System Ballabgarh
7,24-6-2021,Chander Sir,Shiva Elc. Sirsa,Y,Y,Y,"049718, 049719 (phy.)",Y,Y,Y (2-8-21),Y,,,Party closed,,,Kaushal Sir,Ravinder Sir,Deep Trading Neoli Kalan
8,25-6-2021,Deepak Sir,Friends Trading  Rohtak,Y,Y,N/approve by sunil sir,,Y,Y,Y (26-7-21),Y,chq n h,,under distributer,,,Kaushal Sir,Ravinder Sir,Raju Inv. Gohana
9,26-6-2021,Sumeet Sir,Kamboj Elc. Mirapur,N,N,N,,N,Y,,,sep. last m,,Next week,,,Kaushal Sir,Rajesh Sir,Pardeep Ent. Kosli
10,30-6-2021,Anwar Sir,Om Sai Ent. Julana,Y,Y,Y,party closed,Y,Y,Y (12-7-21),Y,,,,,,Kaushal Sir,Rajesh Sir,Mayank Inv. Bikaner
11,30-6-2021,Deepak Sir,Phogat Battery Bhalout,Y,Y,10 k rec. advance Aprove by sunil Sir,,Y,Y,Y (26-7-21),Y,chq n h,,cash ki party,,,Sonu Sir,Sumeet Sir,Ujala Rep. Centre Muzz
12,30-6-2021,Kaushal Sir,Bala Ji Traders Churu,N,N,N,,N,Y (Not Rec.),Not,Not,Order Not Disptch,,party closed,,,Sonu Sir,Sumeet Sir,Technocool Elc. And Ref. Seohara
13,5-7-2021,Anwar Sir,Shiv Elc. Works Pilukhera,Y,Y,Y,"712843,712844,321972,321971,321973(phy.)",Y,Y,Y (9-7-21),Y,,,party closed,,,Sonu Sir,Sumeet Sir,M/S Puran Kirpa Traders Muzz
14,6-7-2021,Deepak Sir,Shree Shyam Ji Inv. Rohtak,Y,Y,Y,000002,Y,Y,Y (26-7-21),Y,,,party closed,,,Sonu Sir,Manoj Sir M,"Diamond Battery House,Meerut"
15,6-7-2021,Anwar Sir,Vijay Battery House Julana,Y,Y,N,Prty closed with us,Y,Y,Y (9-7-21),Y,chq n hai,,What'sapp detail bhej di btadege,,,Sonu Sir,Akash Sir,Royal Battery Rabupura
16,6-7-2021,Sumeet Sir,Chaudhary Battery Sisoli (NBD),Y,Y,Y,"026902, 026903, 026904 (phy.)",Y,Y,Rec. (17-7-21),Y,,,,,,Sonu Sir,Akash Sir,Ravi Battery Works Aurangabd
17,10-7-2021,Anil Sir,R.P. Trading Company Khanak,Y,Y,Y,733042,Y,Y,Y (26-7-21),Y,,,,,,Sonu Sir,Akash Sir,Sheeba Battery Chaundausi
18,12-7-2021,Anwar Sir,Garima Elcs. Jind,Y,Y,Y,"152888,152889 (phy.)",Y,Y,Y (21-7-21),Y,,,,,,Sonu Sir,Sumeet Sir,Kamboj Elc. Mirapur
19,20-7-2021,Ravinder Sir,Additi Elc. Meham,Y,Y,Y,,Y,Y,Y (26-7-21),Y,chq n hai,,,,,,,
20,22-7-2021,Anwar Sir,Buaniwal Ent. Jind (NBD),Y,N,N,party closed,Y,Y,Y (26-7-21),Y,chq n hai,,What'sapp detail bhej di btadege,,,,,
21,22-7-2021,Anil Sir,Shri Ram Elc. Bahal,Y,Y,Y,000001,Y,Y,Y (26-7-21),Y,,,,,,,,
22,26-7-2021,Akash Sir,D.K. Ent. Khanpur,Y,Y,,,Y,Y,Y (28-8-21),Y,,,,,,,,
23,26-7-2021,Anwar Sir,Yadav Battery House Khema Keri,Y,Y,N,party closed,Y,Y,Y (26-7-21),Y,chq n hai,,What'sapp detail bhej di btadege,,,,,
24,27-7-2021,Akash Sir,R.K. Battery Bulandshahr,Y,Y,,,Y,Y,Y (28-8-21),Y,,,,,,,,
25,27-7-2021,Anil Sir,Kissan Battery Bound,Y,Y,Y,000001,Y,Y,Y (16-8-21),Y,,,,,,,,
26,27-7-2021,Neeraj Sir,A.S.D Ent. Meerut,Y,Y,Party Close,"648641,648642,648643 (phy.)",Y,Y,(Shop close Party cancle),,,,,,,,,
27,28-7-2021,Akash Sir,Shiv Trading Com. Galouthi,Y,Y,,,Y,Y,Y (28-8-21),Y,,,,,,,,
28,28-7-2021,Akash Sir,Rafat Ent. Moradabad,Y,Y,,closed party,Y,Y,Rec. (28-8-21),Y,,,,,,,,
29,28-7-2021,Akash Sir,Sheeba Battery Chaundausi,Y,Y,,closed party,Y,Y,Rec. (28-8-21),Y,,,,,,,,
30,28-7-2021,Akash Sir,Siya Ram & Sons Bulandshahr,Y,Y,,closed party,Y,Y,Rec. (28-8-21),Y,,,,,,,,
31,28-7-2021,Chander Sir,Vishwkarma Auto Sirsa (badaguda),Y,Y,chq dene se mna kar da,,Y,Y,Y (2-8-21),Y,chq n hai,,chq dene se mna kar dia,,,,,
32,28-7-2021,Anil Sir,Tanwar Cement Store Bhiwani,Y,Y,Y,914438,Y,Y,Y (16-8-21),Y,,,,,,,,
33,29-7-2021,Anwar Sir,Komal Elc. Jind,Y,Y,Y,"383742,383743 (PHY.)",Y,Y,Y (28-8-21),Y,chq n h,,What'sapp detail bhej di btadege,,,,,
34,29-7-2021,Akash Sir,Pankaj Elc. Anupshahr,Y,Y,,closed party,Y,Y,Y (28-8-21),Y,,,,,,,,
35,3-8-2021,Sunny Sir,Rohilla Ent. Bhiwani,Y,Y,N,,Y,Y,Y (28-8-21),Y,party khri hai security chq nhi duga,,,,,,,
36,9-8-2021,Sumeet Sir,Shakti Elc. Gangoh Saharanpur,Y,Y,Y,Running  me h,Y,Y,Y (28-8-21),Y,,,,,,,,
37,10-8-2021,Ravikant Sir,Luxmi Elc. Malik Chowk Hisar,Y,Y,Y,"000013,000014",Y,Y,Y (17-8-21),Y,,,,,,,,
38,11-8-2021,Akash Sir,Om Hari Bol Udyam Babrala UP,Y,Y,Y,"466686,466687,466688 (phy)",Y,Y,Y (28-8-21),Y,,,,,,,,
39,11-8-2021,Arun Sir,Baba Sadh Ent. Akoda,Y,Y,Y,000011 (phy.),Y,Y,Y (28-8-21),Y,,,,,,,,
