,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upd. On
D S Date","Order
 No","Order
By",Date,"App.
 Date","Remark
If Not App.",Dealer Name & Address,"Front
 Discount","Req.
Date",FOC,"Committ. With
Mat.",Total,JT16024,,,,,,,JT 16536,,,JT18024,,,,,,,JT19036,,,,,,,JT200E36,,,,,,,TT16024,,,,,,,TT 16036,,,,,,TT17536,,,,,,,TT18036,,,,,,,TT22036,,,,,,,TT22060,,,TT22548,,,,TT24036,,,,TT26048,,,,TT26060,,,JT15024,,,200TT36,,,,200TT48,,,,300tt48AH,,,,TT30060AH,,,,"Lithium 
Batt",,,,,"1350
ESS
12.8","2500
ESS
25.6","I POWER
Retail","I POWER
Retail","I POWER
Retail","I POWER
Retail","Lithium  (100ah)
Inverter   Batt",,,,,"1600
E-R ",,"1800
E-R ",,80Z,,92Z,,105Z,,"38B
20L","5662
81",330 W,,325 W,,165 W,,150 W,,"550
W",200,125,170,260,270,335,550,550,540,"40
W","545
W","50
w",550,550,100,"50
epro","590
w","160
W","595
w","570
w","585
Top Con",545,110w,620W,330,1050,1350,"1350
sal",2350,3500,5500,"1700
mtk","1850
LUM",1000,2000,1350,40amp,16MM,24v
,,,,,,,,,,,,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,SB,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,Sb,Liv,Liv.A,P,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,sy,Slt,sb,Liv.A,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,sy,Slt,pl,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,PL,slt,con,charg.,,,"SYLE
51272","SYLE
25660","SYLE
25672","SYLE
12872","sy
51.2","SYLE
25.6V/2350","SYLE
12860","SAL
12860",,sy,P,sy,P,SY,LIV.A,SY,sal,SY,sal,,,MTK,LUM,MTK,LUM,MTK,LUM,MTK,LUM,East,,Palza,LUM,MTK,Lum,LUM,LUM,EXI,EXI,MTK,MTK,,MTK,AMG,Exi,,,EXI,,,MTK,SY,,,,INV,INV,INV,INV,INV,inv,UPS,UPS,PCB,PCB,PCB,DC Fuse,wire,
16-6-2025,HR35,Ravinder Sir,15-5-2025,16-6-2025,,Chahal Meham,,,,With Mat 120 Cheque,24,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-6-2025,HR151,Jagat Sir,13-6-2025,27-6-2025,,Shiva Enterprises Palwal,,,,,50,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-6-2025,HR152,Rajesh Sir,14-6-2025,21-6-2025,,Vikash Elc Service Centre Hisar,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-6-2025,HR159,Manoj Sir,17-6-2025,23-6-2025,,Bala Ji Battery Bareilly,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-6-2025,HR165,Akash Sir,19-6-2025,21-6-2025,,Prakashmay Power Solution Bulandshahr ,,,,,100,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-6-2025,HR167,Rajesh Sir,21-6-2025,21-6-2025,,Verma Inverter Batt Service Centre Hisar,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,5,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-6-2025,HR170,Ramdutt Sir,21-6-2025,21-6-2025,,Davik Inverter Battery Service Centre Palwal,Service Centre,,"3 pcb 1050
1 pcb 1350",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-6-2025,HR178,Salman Sir,24-6-2025,27-6-2025,30-6-2025,Jhilmil Elrctronics & Inverter Battery House Mainpuri,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,15,,,,,,,,,,,,,,12,,,,,,,10,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
25-6-2025,HR181,Rajesh Sir,24-6-2025,25-6-2025,,Kalka Enterprises Service Centre Gurgaon,,,,,29,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
