brand,category,type_name,product_kind,model,sku_code,display_name,base_price_inr,warranty_months,mrp_inr,gst_percent,including_gst_inr,points,ah,capacity_va,voltage_v,warranty_label,warranty_primary_months,warranty_exchange_window_months,gst_amount_inr,warranty_note,source_file,source_row,is_active,sort_order,description
YBK,Batteries,Tall Tubular Battery,battery,LA160TT36,YBK-TTB-LA160TT36,LA160TT36,10040,36,16799,18,11850,,140,,,36+24,36,24,1810,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,2,true,10,
YBK,Batteries,Tall Tubular Battery,battery,LA175TT36,YBK-TTB-LA175TT36,LA175TT36,10590,36,17799,18,12500,,150,,,36+24,36,24,1910,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,3,true,20,
YBK,Batteries,Tall Tubular Battery,battery,LA180TT36,YBK-TTB-LA180TT36,LA180TT36,11015,36,18599,18,13000,,160,,,36+24,36,24,1985,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,4,true,30,
YBK,Batteries,Tall Tubular Battery,battery,LA200TT36,YBK-TTB-LA200TT36,LA200TT36,11865,36,20299,18,14000,,190,,,36+24,36,24,2135,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,5,true,40,
YBK,Batteries,Tall Tubular Battery,battery,LA200TT48,YBK-TTB-LA200TT48,LA200TT48,12370,48,21199,18,14600,,190,,,48+24,48,24,2230,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,6,true,50,
YBK,Batteries,Tall Tubular Battery,battery,LA220TT36,YBK-TTB-LA220TT36,LA220TT36,12290,36,21099,18,14500,,210,,,36+24,36,24,2210,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,7,true,60,
YBK,Batteries,Tall Tubular Battery,battery,LA225TT48,YBK-TTB-LA225TT48,LA225TT48,12795,48,22299,18,15100,,210,,,48+24,48,24,2305,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,8,true,70,
YBK,Batteries,Tall Tubular Battery,battery,LA220TT60,YBK-TTB-LA220TT60,LA220TT60,13980,60,24399,18,16500,,210,,,60+24,60,24,2520,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,9,true,80,
YBK,Batteries,Tall Tubular Battery,battery,LA260TT48,YBK-TTB-LA260TT48,LA260TT48,14490,48,25499,18,17100,,260,,,48+48,48,48,2610,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,10,true,90,
YBK,Batteries,Tall Tubular Battery,battery,LA260TT60,YBK-TTB-LA260TT60,LA260TT60,15565,60,27099,18,18250,,260,,,60+60,60,60,2785,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,11,true,100,
YBK,Batteries,Tall Tubular Battery,battery,LA300TT60,YBK-TTB-LA300TT60,LA300TT60,17710,60,31899,18,20900,,300,,,60+60,60,60,3190,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,12,true,110,
