brand,category,type_name,product_kind,model,sku_code,display_name,base_price_inr,warranty_months,mrp_inr,gst_percent,including_gst_inr,points,ah,capacity_va,voltage_v,warranty_label,warranty_primary_months,warranty_exchange_window_months,gst_amount_inr,warranty_note,source_file,source_row,is_active,sort_order,description
YBK,Batteries,Lithium EV Battery LFP,battery,MC51218LFP,YBK-EVLFP-MC51218LFP,MC51218LFP,11499,18,19599,18,13569,80,30,,51.2,,,,,,lithium_ev_batteries_lfp.csv,2,true,10,
YBK,Batteries,Lithium EV Battery LFP,battery,MC60824LFP,YBK-EVLFP-MC60824LFP,MC60824LFP,14399,18,24599,18,16991,40,30,,60.2,,,,,,lithium_ev_batteries_lfp.csv,3,true,20,
YBK,Batteries,Lithium EV Battery LFP,charger,MC6AH LFP Charger,YBK-EVLFP-MC6AH-LFP-CHARGER,MC6AH LFP Charger,4799,24,8199,5,5039,20,6,,,,,,,,lithium_ev_batteries_lfp.csv,4,true,30,
YBK,Batteries,Lithium EV Battery NMC,battery,MC48036NMC,YBK-EVNMC-MC48036NMC,MC48036NMC,13099,36,22399,18,15457,80,30,,48,,,,,,lithium_ev_batteries_nmc.csv,2,true,10,
YBK,Batteries,Lithium EV Battery NMC,battery,MC60036NMC,YBK-EVNMC-MC60036NMC,MC60036NMC,16399,36,27999,18,19351,40,30,,60,,,,,,lithium_ev_batteries_nmc.csv,3,true,20,
YBK,Batteries,Lithium EV Battery NMC,charger,MC6AH NMC Charger,YBK-EVNMC-MC6AH-NMC-CHARGER,MC6AH NMC Charger,5899,24,10099,5,6961,20,6,,,,,,,,lithium_ev_batteries_nmc.csv,4,true,30,
YBK,Batteries,Lithium EV Battery Shakti,battery,SY-SLFP100,YBK-EVSHAKTI-SY-SLFP100,SY-SLFP100,33399,36,57099,18,39411,100,100,,51.2,,,,,,lithium_ev_batteries_shakti.csv,2,true,10,
YBK,Batteries,Lithium EV Battery Shakti,charger,ER20AH CHARGER,YBK-EVSHAKTI-ER20AH-CHARGER,ER20AH CHARGER,9999,24,17099,5,10499,20,20,,,,,,,,lithium_ev_batteries_shakti.csv,3,true,20,
YBK,Batteries,Lithium Inverter Battery,battery,12660,YBK-LIB-12660,12660,11899,60,22499,18,14041,30,100,,12,,,,,,lithium_inverter_batteries.csv,2,true,10,
YBK,Batteries,Lithium Inverter Battery,battery,25660,YBK-LIB-25660,25660,22399,60,42299,18,26431,60,100,,24,,,,,,lithium_inverter_batteries.csv,3,true,20,
YBK,Batteries,Lithium Inverter Battery,battery,51248,YBK-LIB-51248,51248,43199,60,81599,18,50975,100,100,,48,,,,,,lithium_inverter_batteries.csv,4,true,30,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 1050,YBK-PSLI-NER-1050,NER 1050,3474,36,6999,18,4099,10,,850,12,,,,,,pure_sinewave_lithium_inverters.csv,2,true,10,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 1350,YBK-PSLI-NER-1350,NER 1350,3813,36,7699,18,4499,10,,1200,12,,,,,,pure_sinewave_lithium_inverters.csv,3,true,20,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 2350,YBK-PSLI-NER-2350,NER 2350,6143,36,12399,18,7249,20,,2000,24,,,,,,pure_sinewave_lithium_inverters.csv,4,true,30,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 3850,YBK-PSLI-NER-3850,NER 3850,13431,36,26099,18,15849,20,,3500,24,,,,,,pure_sinewave_lithium_inverters.csv,5,true,40,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 5500,YBK-PSLI-NER-5500,NER 5500,25253,36,50899,18,29799,40,,5000,48,,,,,,pure_sinewave_lithium_inverters.csv,6,true,50,
YBK,Inverters,Pure Sinewave Lithium Inverter,inverter,NER 10000,YBK-PSLI-NER-10000,NER 10000,55508,36,11899,18,65499,80,,10000,96,,,,,,pure_sinewave_lithium_inverters.csv,7,true,60,
YBK,Batteries,Short Tubular Battery,battery,LA150ST18,YBK-STB-LA150ST18,LA150ST18,8940,18,14899,18,10550,,130,,,18+18,18,18,1610,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,short_tubular_batteries.csv,2,true,10,
YBK,Batteries,Short Tubular Battery,battery,LA150ST24_135AH,YBK-STB-LA150ST24-135AH,LA150ST24_135AH,9410,24,15699,18,11100,,135,,,24+24,24,24,1690,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,short_tubular_batteries.csv,3,true,20,
YBK,Batteries,Short Tubular Battery,battery,LA150ST24_150AH,YBK-STB-LA150ST24-150AH,LA150ST24_150AH,9830,24,16399,18,11600,,150,,,24+24,24,24,1770,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,short_tubular_batteries.csv,4,true,30,
YBK,Batteries,Short Tubular Battery,battery,LA150ST36,YBK-STB-LA150ST36,LA150ST36,11440,36,19299,18,13500,,180,,,36+24,36,24,2060,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,short_tubular_batteries.csv,5,true,40,
YBK,Inverters,Solar Hybrid MPPT PCU,pcu,NER 3850,YBK-PCU-NER-3850,NER 3850,17965,36,36199,18,21199,80,,3500,24,,,,,,solar_hybrid_mppt_pcu.csv,2,true,10,
YBK,Inverters,Solar Hybrid MPPT PCU,pcu,NER 5500,YBK-PCU-NER-5500,NER 5500,38304,36,77199,18,45199,80,,5250,48,,,,,,solar_hybrid_mppt_pcu.csv,3,true,20,
YBK,Inverters,Solar Hybrid MPPT PCU,pcu,NER 11000,YBK-PCU-NER-11000,NER 11000,75592,36,152299,5,79372,100,,10000,96,,,,,,solar_hybrid_mppt_pcu.csv,4,true,30,
YBK,Batteries,Tall Tubular Battery,battery,LA160TT36,YBK-TTB-LA160TT36,LA160TT36,10040,36,16799,18,11850,,140,,,36+24,36,24,1810,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,2,true,10,
YBK,Batteries,Tall Tubular Battery,battery,LA175TT36,YBK-TTB-LA175TT36,LA175TT36,10590,36,17799,18,12500,,150,,,36+24,36,24,1910,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,3,true,20,
YBK,Batteries,Tall Tubular Battery,battery,LA180TT36,YBK-TTB-LA180TT36,LA180TT36,11015,36,18599,18,13000,,160,,,36+24,36,24,1985,Exchange window after primary warranty is against old battery/scrap value; scrap value is variable,tall_tubular_batteries.csv,4,true,30,
